name,price,rating,urls,details,_id
HP 250 G9 Laptop Intel Core i5 16GB 512 SSD 15.6 Inch Windows 11 Laptop,£497.97,6%,https://www.laptopsdirect.co.uk/hp-250-g9-laptop-intel-core-i5-16gb-512-ssd-fhd-windows-11-home-advanced-6q8c2es/version.asp,"Intel Core i5 1235U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD",650b4bf8424970cd85c3897d
HP 250 G9 Intel Core i7 16GB RAM 512GB SSD 15.6 Inch Windows 11 FHD Laptop,£569.97,12%,https://www.laptopsdirect.co.uk/hp-250-g9-laptop-intel-core-i7-1255u-16gb-512-ssd-15.6-inch-fhd-windows-11-6q947es/version.asp,"Intel Core i7 1255U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD",650b4bf8424970cd85c3897e
Lenovo ThinkBook 15 G2 ITL Core i5 8GB 256GB SSD 15.6 Inch Windows 11 Pro Laptop,£537.97,★★★★★,https://www.laptopsdirect.co.uk/lenovo-thinkbook-15-g2-itl-core-i5-1135-8gb-256gb-ssd-15.6-inch-windows-11-20ve00rpuk/version.asp,"Intel Core i5 1135G7 Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",650b4bf8424970cd85c3897f
Asus Expertbook Core i3 8GB RAM 256GB SSD 15.6 Inch FHD Windows 11 Pro Laptop,£339.97,30%,https://www.laptopsdirect.co.uk/asus-experbook-core-i3-8gb-256gb-ssd-15.6-inch-windows-11-pro-laptop-p1511cea-eji3x/version.asp,"Intel Core i3 1115G4 Processor, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD, 1 year warranty",650b4bf8424970cd85c38980
Lenovo V15 G4 AMN Ryzen 5 7520U 16GB RAM 256GB SSD 15.6 inch Windows 11 Pro Laptop,£449.97,29%,https://www.laptopsdirect.co.uk/lenovo-v15-g4-amn-ryzen-5-7520u-16gb-ram-256gb-ssd-15.6-inch-82yu00hxuk/version.asp,"AMD Ryzen 5 7520U Processor, AMD Radeon 610M Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 256GB SSD",650b4bf8424970cd85c38981
HP 250 G9 Core i5-1235U 16GB 512GB SSD 15.6 inch FHD Windows 11 Pro Laptop,£594.97,24%,https://www.laptopsdirect.co.uk/hp-250-g9-core-i5-16gb-adl-pro-15.6-inch-windows-11-laptop-6s6s9ea/version.asp,"Intel Core i5 1235U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD",650b4bf8424970cd85c38982
Lenovo V15 Intel Core i5-1235U 16GB RAM 256GB SSD Windows 11 Pro Laptop,£499.97,★★★★★,https://www.laptopsdirect.co.uk/lenovo-v15-intel-core-i5-1235u-16gb-ram-256gb-ssd-windows-11-pro-laptop-82tt0008uk-16gb/version.asp,"Intel Core i5 1235U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 256GB SSD",650b4bf8424970cd85c38983
Refurbished HP EliteBook 840 G3 Ultrabook Core i5 6th gen 8GB 256GB 14 Inch Windows 10 Professional Laptop,£239.97,11%,https://www.laptopsdirect.co.uk/refurbished-hp-elitebook-840-g3-ultrabook-core-i5-6300u-8gb-256gb-14-inch-w-t1-840g3-256gb/version.asp,"Intel Core i5 6200U Processor, 14 Inch 1366 x 768 Screen, 8GB RAM, 256GB SSD, 1 year warranty",650b4bf8424970cd85c38984
Lenovo ThinkPad E15 Gen 4 Core i7-1255U 16GB 512GB SSD 15.6 Inch Windows 11 Pro Laptop,£899.97,25%,https://www.laptopsdirect.co.uk/lenovo-thinkpad-e15-gen-4-core-i7-1255u-16gb-512gb-ssd-15.6-inch-windows-11-21e60050uk/version.asp,"Intel Core i7 1255U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD",650b4bf8424970cd85c38985
HP 250 G9 Intel Core i7 16GB 512GB SSD 15.6 Inch FHD Windows 11 Pro Laptop,£749.97,10%,https://www.laptopsdirect.co.uk/hp-250-g9-intel-core-i7-1255u-16gb-512gb-ssd-15.6-inch-fhd-windows-11-pro-l-6s758ea/version.asp,"Intel Core i7 1255U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD",650b4bf8424970cd85c38986
